Item Id,SKU,Type,Brand,Size,Color,Theme,Size Type,Fabric Type,Features,Pattern,Rise,Material,Character,Fabric Wash,Style,Accents,Department,Product Line,Performance/Activity,Personalize,Season,Occasion,Handmade,Vintage,Inseam,Country/Region of Manufacture,Waist Size,Model,Garment Care,MPN,California Prop 65 Warning,Personalization Instructions,
"264972291121","306870","Leggings","Snake Print",,"Tan Black","Snake Print","Regular","Fleece","Thick and Warm fleece","Animal Print","Regular Rise","Polyester and Spandex","Slimming Design Leggings","","Slim Leggings","Snake Print","Women","Women's Fleece Leggings","Casual","","Fall,Spring,Winter","Activewear,Casual,Party/Cocktail,Travel","","No","Variants","","Variants","","","","","",
"264972291121","",,,"S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"264972291121","",,,"M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"264972291121","",,,"L",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"264972291121","",,,"XL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"254755984728","304862","Leggings","Unbranded",,"Black","Clubwear,Shiny","Regular","Faux Leather","Elastic Waist,Stretch","Solid","High (Greater than 10.5 in)","Faux Leather,Polyester Blend","partywear","","Leggings","","Women","Ladies Club Wear","Dance,Driving","","Fall,Spring,Summer,Winter","Casual,Party/Cocktail,Wedding","","No","Variable","","Variable","","","High-Waist-Faux-Leather-Leggings","","",
"254755984728","304866",,,"XL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"254755984728","304865",,,"L",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"254755984728","304864",,,"M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"254755984728","304863",,,"S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"264838234337","301863","Leggings","Interloper",,"Coffee","Wide Waistband","Regular","Fleece","Adjustable Waist","Solid","High (Greater than 10.5 in)","Polyester","Tummy Hiding","","Stretch Leggings","","Women","Tummy Control Leggings","Cheerleading,Cross Training,Cycling,Dance,Driving,Yoga","","","Activewear,Casual,Party/Cocktail,Travel,Workwear","","No","Varies","","Varies","","","Tummy-Control-Fleece-Leggings","","",
"264838234337","301877",,,"XL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"264838234337","301876",,,"L",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"264838234337","301875",,,"M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"264838234337","301874",,,"S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"264838266003","297860","Thick Cotton Leggings","Interloper",,"Ash Gray","Winter","Regular","Blended Fabric","Stretch","Solid","","Cotton Blend,Cotton","","","High Waist Leggings","","Women","","Baseball,Basketball,Bodybuilding,CrossFit,Cross Training,Cycling,Dance,Driving","","Winter","Activewear,Casual,Party/Cocktail,Travel","","No","Variants","","Variants","","","High-Waisted-Long-Leggings","","",
"264838266003","301926",,,"3X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"264838266003","301925",,,"2X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"264838266003","301924",,,"1X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"264838266003","301923",,,"XL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
